Tag,Year,Kind,First authored,Single authored,PhD publication,Including PhD supervisor,Publisher,Open access,Link,Full reference,Current number of citations,Title
Blog 1,2021,Blog post,1,1,0,0,Lore Abad,1,https://loreabad6.github.io/posts/2021-03-05-geospatial-network-visualization/,"Abad (2021, March 5). Lore Abad: Geospatial Network Visualization. Retrieved from https://loreabad6.github.io/posts/2021-03-05-geospatial-network-visualization/",0,Geospatial Network Visualization
Blog 2,2021,Blog post,1,1,0,0,Lore Abad,1,https://loreabad6.github.io/posts/2021-11-18-foss4grspatial/,"Abad (2021, Nov. 18). Lore Abad: FOSS4G: R-Spatial Panel. Retrieved from https://loreabad6.github.io/posts/2021-11-18-foss4grspatial/",0,FOSS4G: R-Spatial Panel
Blog 3,2021,Blog post,1,1,0,0,Lore Abad,1,https://loreabad6.github.io/posts/2021-11-30-30daymapchallenge-rstats/,"Abad (2021, Nov. 30). Lore Abad: #30DayMapChallenge & #RStats. Retrieved from https://loreabad6.github.io/posts/2021-11-30-30daymapchallenge-rstats/",0,#30DayMapChallenge & #RStats
Blog 4,2022,Blog post,1,1,0,0,Lore Abad,1,https://loreabad6.github.io/posts/2023-04-26-betterposter-at-egu-2023/,"Abad (2023, April 26). Lore Abad: #betterposter at EGU 2023. Retrieved from https://loreabad6.github.io/posts/2023-04-26-betterposter-at-egu-2023/",0,#betterposter at EGU 2023
,,,,,,,,,,,,
sfnetworks,2023,Community software,0,0,0,0,CRAN,1,https://cran.r-project.org/web/packages/sfnetworks/index.html,"van der Meer L, Abad L, Gilardi A, Lovelace R (2023). sfnetworks: Tidy Geospatial Networks. https://luukvdmeer.github.io/sfnetworks/, https://github.com/luukvdmeer/sfnetworks.",0,sfnetworks: Tidy Geospatial Networks
slidem,2023,Community software,1,0,0,0,GitHub,1,https://github.com/SliDEM-project/SliDEM-python,Abad et al. (2023) SliDEM,0,SliDEM: Assessing the suitability of DEMs derived from Sentinel-1 for landslide volume estimation.
